пер. Короткий
пер. Костычева
пер. Кочкина
пер. Крамского
пер. Красноармейский
пер. Краснополянский
пер. Краснопролетарский
пер. Красный
пер. Кременчугский
пер. Кривой
пер. Криворожский
пер. Крутой
пер. Кулишова
пер. Курсовой
пер. Кутаисский
пер. Лалаянца
пер. Ламаный
пер. Ленина
пер. Лермонтова
пер. Лесной
пер. Лесозаводской
пер. Летний
пер. Летчиков
пер. Лиственный
пер. Логаша
пер. Луговской
пер. Лукьяненко
пер. Лучистый
пер. Люблинский
пер. Людмилы Мокиевской
пер. Людмилы Сталь 
пер. Львовский
пер. Маковского
пер. Малахитовый
пер. Малосамарский
пер. Малый
пер. Малышева
пер. Мандрыковский
пер. Манежный
пер. Матросский
пер. Международный
пер. Месячный
пер. Минеральный
пер. Минусинский
пер. Мицкевича
пер. Молодежный
пер. Молодости
пер. Монтажников
пер. Морской
пер. Московский
пер. Моторный
пер. Моховой
пер. Мраморный
пер. Муравьева
пер. Надежды
пер. Нарвский
пер. Народный
пер. Неманский
пер. Ниженский
пер. Николаева
пер. Новозаводской
пер. Новокрымский
пер. Новомосковский
пер. Новопоточный
пер. Новочеркасский
пер. Новый
пер. Ногинский
пер. Оберега
пер. Обручева
пер. Обходной
пер. Одесский
пер. Одоевского
пер. Озерный
пер. Окопный
пер. Олевский
пер. Онежский
пер. Орельский
пер. Ореховский
пер. Орловский
пер. Освобождения
пер. Осипенко
пер. Островского
пер. Отдыха
пер. Павлодарский
пер. Паганини
пер. Парковый
пер. Парусный
пер. Педюменский
пер. Передовой
пер. Переясловский
пер. Пермский
пер. Перовской
пер. Петрозаводской
пер. Печати
пер. Пионерский
пер. Пихтовый
пер. Платова
пер. Повстанческий
пер. Пожарный
пер. Пожарского
пер. Покровского
пер. Покрышкина
пер. Поленова
пер. Порт-Артурський
пер. Поэтический
пер. Прессовый
пер. Привольный
пер. Пригородный
пер. Придорожный
пер. Прилуцкий
пер. Приовражный
пер. Пристань
пер. Проездной
пер. Проектный
пер. Пролетарский
пер. Пролетарской Победы
пер. Проскуровский
пер. Просторный
